"ApplicationID","Hired","AgeBracket","TravelPreference","HiringDepartment","DistanceFromHome","EducationLevel","EducationField","Gender","Role","Internships","StandardHours","Summary","ExtraCurriculars"
"BB41","No","40 and Over","Travel_Rarely","Research & Development","2","1","Life Sciences","Female","Research Scientist","0","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  So far I have completed 0 internships.  I am very dedicated  and would be a good additional at your firm.","Rowing"
"BB42","Yes","40 and Over","Travel_Rarely","Research & Development","14","3","Medical","Female","Research Director","1","80","I am a Medical education, and wish to start my career in a corporate roleworking for you in this role.  Already I have done 1 internships, building valuable work experience.  As you can see, I am highly motivated  and I am a good match for the role.","Rowing"
"BB51","No","40 and Over","Travel_Rarely","Research & Development","4","3","Life Sciences","Female","Manufacturing Director","1","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 1 internships, and can provide references.  I am a hard worker  and I hope to hear from you soon.","Basketball"
"BB62","No","40 and Over","Travel_Rarely","Research & Development","8","1","Other","Female","Healthcare Representative","3","80","Hi there. I am a Other education, and wish to start my career in a corporate role in the corporate sector.  So far I have completed 3 internships, building valuable work experience.  I am very dedicated  and I hope to hear from you soon.","Basketball"
"BB66","No","40 and Over","Travel_Rarely","Research & Development","25","2","Other","Female","Laboratory Technician","4","80","Hi there. I am a Other education, and wish to start my career in a corporate role in a role in the corporate sector.  I have done 4 internships, and can provide references.  I am a hard worker  and would be a good additional at your firm.","Tennis"
"BB74","No","Under 40","Travel_Rarely","Sales","1","1","Life Sciences","Female","Sales Executive","1","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  Already I have done 1 internships, and can provide references.  I am highly motivated  and would be a good additional at your firm.","Basketball, Debating, Rowing, Tennis, Debating, Soccer"
"BB78","No","40 and Over","Travel_Rarely","Sales","7","1","Marketing","Female","Sales Representative","0","80","Hi there. I am applying for a role after completing my Marketing major, with a passion to work in the corporate sector. I have done  working for your company.  Already I have done 0 internships, building valuable work experience.  I am a hard worker  and would be a good additional at your firm.","Debating"
"BB79","No","40 and Over","Travel_Rarely","Research & Development","10","4","Life Sciences","Female","Manufacturing Director","2","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  Already I have done 2 internships.  I am a hard worker  and I hope to hear from you soon.","Debating, Tennis, Soccer"
"BB83","No","40 and Over","Travel_Frequently","Research & Development","4","3","Engineering","Female","Research Scientist","9","80","Recently I completed my Engineering education, and wish to start my career in a corporate role in a corporate role.  Already I have done 9 internships, and can provide references.  As you can see, I am highly motivated  and I hope to hear from you soon.","Hockey"
"BB84","No","40 and Over","Travel_Rarely","Research & Development","24","3","Medical","Female","Healthcare Representative","1","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have already done 1 internships, building valuable work experience.  I am very dedicated  and I hope to hear from you soon.",""
"BB96","Yes","40 and Over","Travel_Rarely","Research & Development","2","3","Engineering","Female","Research Scientist","1","80","Recently I completed my Engineering education, and wish to start my career in a corporate role in a corporate role.  I have completed 1 internships, building work experience.  As you can see, I am highly motivated  and I hope to hear from you soon.","Athletics"
"BB97","No","40 and Over","Non-Travel","Research & Development","9","3","Medical","Female","Research Scientist","6","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have already done 6 internships.  I am highly motivated  and would be a good additional at your firm.","Debating, Basketball, Soccer, Rowing, Basketball, Soccer"
"BB106","No","40 and Over","Travel_Rarely","Sales","16","4","Marketing","Female","Sales Executive","4","80","Hi there. I am applying for a role after completing my Marketing major, with a passion to work in the corporate sector. I have done  working for your company.  I have done 4 internships, building work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Soccer"
"BB107","No","40 and Over","Non-Travel","Research & Development","7","3","Medical","Female","Laboratory Technician","1","80","Recently I completed my Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 1 internships.  I am very dedicated  and I am a good match for the role.","Rowing, Basketball, Hockey"
"BB109","No","40 and Over","Travel_Rarely","Research & Development","1","3","Life Sciences","Female","Manufacturing Director","4","80","I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have done 4 internships, building work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Soccer"
"BB122","No","40 and Over","Travel_Rarely","Research & Development","26","1","Life Sciences","Female","Research Scientist","1","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  I have done 1 internships, building valuable work experience.  I am very dedicated  and I am a good match for the role.","Hockey"
"BB142","Yes","Under 40","Travel_Rarely","Sales","1","4","Medical","Female","Manager","3","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  So far I have completed 3 internships.  I am a hard worker  and I am a good match for the role.","Football"
"BB146","No","40 and Over","Travel_Rarely","Research & Development","2","3","Life Sciences","Female","Research Scientist","5","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  I have completed 5 internships, and can provide references.  As you can see, I am highly motivated  and I hope to hear from you soon.","Debating"
"BB158","No","40 and Over","Travel_Rarely","Sales","2","4","Marketing","Female","Sales Executive","7","80","I am a Marketing education, and wish to start my career in a corporate role in the corporate sector.  I have done 7 internships.  I am a hard worker  and would be a good additional at your firm.","Hockey"
"BB161","Yes","Under 40","Travel_Rarely","Human Resources","26","4","Human Resources","Female","Manager","4","80","I am a Human Resources education, and wish to start my career in a corporate roleworking for you in this role.  I have done 4 internships, building valuable work experience.  I am highly motivated  and would be a good additional at your firm.","Tennis"
"BB167","No","Under 40","Travel_Rarely","Research & Development","3","3","Life Sciences","Female","Research Director","3","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  I have completed 3 internships, building valuable work experience.  I am highly motivated  and would be a good additional at your firm.","Basketball"
"BB168","No","40 and Over","Travel_Rarely","Research & Development","15","2","Life Sciences","Female","Research Director","0","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  So far I have completed 0 internships, building work experience.  I am highly motivated  and would be a good additional at your firm.","Hockey, Hockey, Athletics, Rowing, Basketball, Hockey"
"BB170","No","40 and Over","Travel_Rarely","Sales","27","3","Life Sciences","Female","Sales Executive","1","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a corporate role.  I have completed 1 internships, and can provide references.  I am a hard worker  and would be a good additional at your firm.","Athletics"
"BB172","No","Under 40","Non-Travel","Research & Development","7","3","Medical","Female","Research Scientist","4","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  Already I have done 4 internships, building work experience.  As you can see, I am a hard worker  and I am a good match for the role.","Rowing, Basketball, Athletics, Hockey, Debating, Soccer"
"BB176","No","40 and Over","Travel_Rarely","Research & Development","10","1","Life Sciences","Female","Research Scientist","0","80","I am a Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  I have completed 0 internships, building work experience.  I am very dedicated  and I am a good match for the role.","Hockey"
"BB182","No","40 and Over","Travel_Rarely","Sales","1","4","Marketing","Female","Sales Executive","0","80","Hi there. I am a Marketing major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 0 internships, building work experience.  As you can see, I am a hard worker  and I hope to hear from you soon.","Basketball"
"BB184","No","40 and Over","Travel_Rarely","Sales","2","1","Engineering","Female","Sales Representative","1","80","Hi there. I am a Engineering education, and wish to start my career in a corporate role in the corporate sector.  So far I have completed 1 internships, and can provide references.  I am highly motivated  and would be a good additional at your firm.","Hockey"
"BB186","Yes","40 and Over","Travel_Frequently","Research & Development","10","4","Engineering","Female","Healthcare Representative","1","80","Hi there. I am a Engineering major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 1 internships, building work experience.  I am very dedicated  and I am a good match for the role.","Athletics"
"BB200","No","40 and Over","Travel_Rarely","Research & Development","1","4","Life Sciences","Female","Research Scientist","3","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  Already I have done 3 internships.  As you can see, I am a hard worker  and would be a good additional at your firm.",""
"BB206","No","40 and Over","Travel_Rarely","Sales","23","3","Marketing","Female","Sales Executive","7","80","Recently I completed my Marketing education, and wish to start my career in a corporate role working for your company.  I have done 7 internships, building work experience.  I am highly motivated  and I hope to hear from you soon.","Hockey"
"BB207","Yes","40 and Over","Travel_Rarely","Research & Development","6","3","Medical","Female","Research Scientist","4","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done  working for your company.  Already I have done 4 internships.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Debating"
"BB210","Yes","40 and Over","Travel_Frequently","Research & Development","1","3","Life Sciences","Female","Manufacturing Director","1","80","I am a Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  I have done 1 internships.  I am highly motivated  and I am a good match for the role.","Soccer, Tennis, Football"
"BB213","No","Under 40","Travel_Rarely","Research & Development","2","3","Life Sciences","Female","Research Director","6","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  So far I have completed 6 internships.  As you can see, I am highly motivated  and I am a good match for the role.","Soccer"
"BB217","No","40 and Over","Travel_Rarely","Sales","1","3","Marketing","Female","Sales Executive","9","80","Hi there. I am applying for a role after completing my Marketing education, and wish to start my career in a corporate roleworking for you in this role.  I have completed 9 internships, building work experience.  I am highly motivated  and I hope to hear from you soon.","Basketball"
"BB235","No","Under 40","Travel_Frequently","Research & Development","8","3","Life Sciences","Female","Manager","1","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role in a corporate role.  Already I have done 1 internships, building work experience.  I am a hard worker  and I hope to hear from you soon.","Athletics"
"BB238","No","40 and Over","Travel_Rarely","Research & Development","28","4","Life Sciences","Female","Research Scientist","4","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  I have done 4 internships, and can provide references.  I am a hard worker  and I am ready to start at your firm immediately.","Athletics"
"BB243","No","40 and Over","Travel_Rarely","Research & Development","19","3","Life Sciences","Female","Manufacturing Director","3","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have already done 3 internships, building work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Athletics, Hockey, Debating, Debating, Athletics, Hockey"
"BB245","No","40 and Over","Travel_Rarely","Sales","29","4","Life Sciences","Female","Sales Executive","8","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  So far I have completed 8 internships.  I am very dedicated  and would be a good additional at your firm.","Debating"
"BB253","No","40 and Over","Travel_Rarely","Sales","3","3","Life Sciences","Female","Sales Executive","2","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in the corporate sector.  Already I have done 2 internships, building valuable work experience.  I am highly motivated  and I hope to hear from you soon.","Tennis, Football, Athletics"
"BB256","No","Under 40","Travel_Rarely","Sales","10","4","Medical","Female","Sales Executive","0","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  So far I have completed 0 internships, building work experience.  I am highly motivated  and I am a good match for the role.",""
"BB262","No","40 and Over","Travel_Rarely","Research & Development","1","1","Life Sciences","Female","Research Scientist","3","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  So far I have completed 3 internships, building valuable work experience. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Soccer, Hockey, Basketball, Football, Basketball, Tennis"
"BB264","No","40 and Over","Travel_Frequently","Research & Development","2","2","Life Sciences","Female","Manufacturing Director","2","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role working for your company.  I have already done 2 internships, building work experience.  I am a hard worker  and I am a good match for the role.","Debating"
"BB269","No","Under 40","Non-Travel","Research & Development","23","2","Life Sciences","Female","Laboratory Technician","1","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done working for you in this role.  So far I have completed 1 internships, and can provide references. As you can see, I am very dedicated and I hope to hear from you soon.","Football"
"BB276","No","40 and Over","Travel_Rarely","Research & Development","14","3","Life Sciences","Female","Laboratory Technician","1","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 1 internships.  As you can see, I am highly motivated  and I am a good match for the role.","Tennis"
"BB281","No","40 and Over","Travel_Rarely","Sales","4","2","Life Sciences","Female","Sales Executive","1","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate roleworking for you in this role.  I have done 1 internships, and can provide references. As you can see, I am very dedicated and I hope to hear from you soon.",""
"BB282","No","40 and Over","Travel_Rarely","Research & Development","5","2","Life Sciences","Female","Laboratory Technician","8","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  I have already done 8 internships, and can provide references. As you can see, I am very dedicated and would be a good additional at your firm.","Tennis"
"BB286","No","Under 40","Travel_Frequently","Sales","4","1","Medical","Female","Sales Representative","3","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  Already I have done 3 internships, building work experience.  I am highly motivated  and would be a good additional at your firm.","Tennis"
"BB292","No","Under 40","Travel_Rarely","Research & Development","1","3","Life Sciences","Female","Manager","4","80","Hi there. I am applying for a role after completing my Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  Already I have done 4 internships, building work experience.  I am very dedicated  and would be a good additional at your firm.","Debating, Tennis, Hockey"
"BB294","No","40 and Over","Travel_Rarely","Research & Development","18","1","Medical","Female","Research Scientist","1","80","Recently I completed my Medical education, and wish to start my career in a corporate role in the corporate sector.  I have done 1 internships, and can provide references.  I am highly motivated  and would be a good additional at your firm.","Athletics, Debating, Basketball"
"BB301","No","Under 40","Travel_Rarely","Research & Development","4","4","Life Sciences","Female","Research Scientist","9","80","Hi there. I am applying for a role after completing my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 9 internships, and can provide references.  As you can see, I am a hard worker  and I hope to hear from you soon.","Basketball, Debating, Basketball"
"BB305","Yes","Under 40","Travel_Frequently","Research & Development","22","3","Medical","Female","Manager","3","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have completed 3 internships, and can provide references.  I am a hard worker  and I am a good match for the role.","Athletics"
"BB307","Yes","Under 40","Travel_Rarely","Sales","2","4","Life Sciences","Female","Manager","6","80","I am a Life Sciences education, and wish to start my career in a corporate role in a corporate role.  I have already done 6 internships, building work experience. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Hockey"
"BB308","No","Under 40","Travel_Rarely","Sales","20","3","Life Sciences","Female","Sales Executive","8","80","Recently I completed my Life Sciences education, and wish to start my career in a corporate role working for your company.  I have completed 8 internships, and can provide references.  As you can see, I am a hard worker  and I hope to hear from you soon.","Debating, Debating, Basketball"
"BB315","No","40 and Over","Travel_Frequently","Research & Development","18","2","Life Sciences","Female","Manufacturing Director","2","80","Hi there. I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in the corporate sector.  I have done 2 internships, building work experience.  I am highly motivated  and I am ready to start at your firm immediately.","Basketball, Football, Debating"
"BB316","No","40 and Over","Travel_Rarely","Sales","7","4","Life Sciences","Female","Sales Representative","3","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in a corporate role.  Already I have done 3 internships.  As you can see, I am highly motivated  and would be a good additional at your firm.","Athletics"
"BB318","No","40 and Over","Travel_Rarely","Research & Development","2","1","Medical","Female","Research Scientist","7","80","I am a Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have already done 7 internships, and can provide references.  As you can see, I am a hard worker  and I am a good match for the role.","Tennis"
"BB320","No","40 and Over","Travel_Rarely","Sales","2","2","Medical","Female","Sales Executive","1","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  Already I have done 1 internships.  As you can see, I am a hard worker  and I am a good match for the role.","Hockey"
"BB321","No","40 and Over","Travel_Rarely","Research & Development","4","1","Medical","Female","Manager","1","80","I am a Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  I have already done 1 internships, building work experience.  I am a hard worker  and would be a good additional at your firm.",""
"BB323","No","40 and Over","Travel_Rarely","Research & Development","9","4","Medical","Female","Research Scientist","1","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  So far I have completed 1 internships. As you can see, I am very dedicated and I am a good match for the role.","Debating"
"BB325","Yes","40 and Over","Travel_Rarely","Sales","2","4","Life Sciences","Female","Sales Representative","3","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role in a corporate role.  Already I have done 3 internships, building valuable work experience.  I am very dedicated  and I hope to hear from you soon.","Soccer, Soccer, Rowing, Rowing, Soccer, Hockey"
"BB326","No","Under 40","Travel_Rarely","Research & Development","2","3","Life Sciences","Female","Manager","5","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in the corporate sector.  So far I have completed 5 internships, building valuable work experience. As you can see, I am very dedicated and I am a good match for the role.","Tennis"
"BB331","No","40 and Over","Travel_Rarely","Research & Development","1","4","Life Sciences","Female","Manager","2","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  I have completed 2 internships, building valuable work experience.  As you can see, I am a hard worker  and I hope to hear from you soon.","Tennis"
"BB335","No","40 and Over","Travel_Rarely","Research & Development","7","1","Life Sciences","Female","Research Scientist","1","80","I am a Life Sciences major, with a passion to work in the corporate sector. I have done  in the corporate sector.  So far I have completed 1 internships.  I am a hard worker  and would be a good additional at your firm.","Rowing, Hockey, Basketball"
"BB340","Yes","40 and Over","Travel_Rarely","Research & Development","9","4","Medical","Female","Research Scientist","1","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have completed 1 internships.  As you can see, I am a hard worker  and I hope to hear from you soon.","Basketball"
"BB341","No","Under 40","Travel_Frequently","Research & Development","9","4","Medical","Female","Research Scientist","8","80","Recently I completed my Medical major, with a passion to work in the corporate sector. I have done  working for your company.  I have done 8 internships, and can provide references.  I am very dedicated  and I am a good match for the role.","Hockey"
"BB349","No","40 and Over","Travel_Rarely","Research & Development","6","3","Medical","Female","Laboratory Technician","7","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  Already I have done 7 internships, and can provide references.  As you can see, I am highly motivated  and I am ready to start at your firm immediately.","Hockey, Soccer, Rowing"
"BB350","No","Under 40","Travel_Rarely","Sales","14","3","Medical","Female","Sales Executive","3","80","Recently I completed my Medical education, and wish to start my career in a corporate roleworking for you in this role.  I have completed 3 internships, and can provide references.  As you can see, I am a hard worker  and I hope to hear from you soon.","Soccer"
"BB353","No","40 and Over","Non-Travel","Sales","8","2","Marketing","Female","Sales Executive","4","80","Recently I completed my Marketing education, and wish to start my career in a corporate role in a role in the corporate sector.  So far I have completed 4 internships, building valuable work experience. As you can see, I am very dedicated and I am a good match for the role.",""
"BB354","No","Under 40","Travel_Rarely","Research & Development","1","2","Medical","Female","Research Director","9","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role working for your company.  So far I have completed 9 internships, and can provide references. As you can see, I am very dedicated and I am a good match for the role.",""
"BB356","No","40 and Over","Travel_Rarely","Sales","1","3","Marketing","Female","Sales Executive","9","80","Hi there. I am applying for a role after completing my Marketing major, with a passion to work in the corporate sector. I have done  in a corporate role.  I have completed 9 internships, and can provide references. As you can see, I am very dedicated and would be a good additional at your firm.","Debating, Athletics, Rowing"
"BB364","No","40 and Over","Travel_Rarely","Sales","10","1","Marketing","Female","Sales Executive","1","80","Hi there. I am a Marketing education, and wish to start my career in a corporate roleworking for you in this role.  So far I have completed 1 internships, building valuable work experience. As you can see, I am very dedicated and I hope to hear from you soon.","Soccer"
"BB365","No","Under 40","Non-Travel","Research & Development","1","4","Life Sciences","Female","Healthcare Representative","2","80","Hi there. I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  I have completed 2 internships, building work experience. As you can see, I am very dedicated and I am ready to start at your firm immediately.","Athletics"
"BB367","No","40 and Over","Travel_Rarely","Research & Development","1","5","Medical","Female","Research Director","4","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in a corporate role.  I have done 4 internships, building valuable work experience. As you can see, I am very dedicated and I am a good match for the role.",""
"BB368","No","40 and Over","Travel_Rarely","Research & Development","2","3","Medical","Female","Manufacturing Director","5","80","Hi there. I am a Medical education, and wish to start my career in a corporate role in a corporate role.  So far I have completed 5 internships.  As you can see, I am highly motivated  and I am a good match for the role.","Debating"
"BB372","No","40 and Over","Travel_Frequently","Research & Development","1","5","Life Sciences","Female","Manufacturing Director","1","80","I am a Life Sciences education, and wish to start my career in a corporate role working for your company.  So far I have completed 1 internships, and can provide references.  As you can see, I am highly motivated  and would be a good additional at your firm.","Hockey"
"BB375","Yes","40 and Over","Travel_Rarely","Research & Development","2","4","Medical","Female","Research Scientist","6","80","Hi there. I am applying for a role after completing my Medical major, with a passion to work in the corporate sector. I have done working for you in this role.  Already I have done 6 internships.  I am highly motivated  and I am a good match for the role.","Athletics"
"BB376","No","40 and Over","Travel_Rarely","Research & Development","10","1","Medical","Female","Research Scientist","1","80","Hi there. I am a Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  So far I have completed 1 internships, building valuable work experience.  As you can see, I am a hard worker  and I am a good match for the role.","Tennis, Tennis, Rowing, Athletics, Football, Rowing"
"BB380","No","40 and Over","Travel_Frequently","Research & Development","2","4","Life Sciences","Female","Manufacturing Director","6","80","I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have completed 6 internships, and can provide references.  As you can see, I am highly motivated  and would be a good additional at your firm.","Soccer"
"BB381","No","40 and Over","Travel_Rarely","Research & Development","1","2","Life Sciences","Female","Healthcare Representative","1","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  working for your company.  I have completed 1 internships, building valuable work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Basketball, Soccer, Football"
"BB382","Yes","40 and Over","Non-Travel","Research & Development","1","3","Life Sciences","Female","Laboratory Technician","1","80","I am a Life Sciences education, and wish to start my career in a corporate role in a role in the corporate sector.  I have done 1 internships, building work experience. As you can see, I am very dedicated and would be a good additional at your firm.","Debating"
"BB385","No","Under 40","Travel_Rarely","Sales","2","2","Medical","Female","Manager","6","80","Hi there. I am a Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  I have already done 6 internships, building valuable work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Debating, Tennis, Football"
"BB391","No","Under 40","Travel_Frequently","Research & Development","9","2","Medical","Female","Laboratory Technician","1","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in the corporate sector.  Already I have done 1 internships, building work experience.  I am very dedicated  and I am ready to start at your firm immediately.","Basketball"
"BB395","No","Under 40","Travel_Rarely","Research & Development","27","3","Engineering","Female","Laboratory Technician","5","80","Hi there. I am a Engineering major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have done 5 internships, and can provide references.  As you can see, I am highly motivated  and would be a good additional at your firm.","Rowing, Tennis, Rowing"
"BB396","No","Under 40","Travel_Frequently","Research & Development","20","5","Medical","Female","Healthcare Representative","2","80","Recently I completed my Medical education, and wish to start my career in a corporate role in a role in the corporate sector.  Already I have done 2 internships. As you can see, I am very dedicated and would be a good additional at your firm.","Athletics, Hockey, Tennis, Basketball, Rowing, Debating"
"BB419","No","Under 40","Travel_Rarely","Research & Development","5","5","Medical","Female","Research Scientist","2","80","Hi there. I am applying for a role after completing my Medical education, and wish to start my career in a corporate role in the corporate sector.  I have completed 2 internships, building work experience.  As you can see, I am highly motivated  and I hope to hear from you soon.","Basketball, Rowing, Hockey"
"BB421","No","40 and Over","Travel_Rarely","Research & Development","3","1","Medical","Female","Laboratory Technician","1","80","Recently I completed my Medical education, and wish to start my career in a corporate role working for your company.  So far I have completed 1 internships, building valuable work experience.  I am a hard worker  and I am a good match for the role.","Tennis"
"BB434","No","40 and Over","Travel_Rarely","Sales","21","4","Life Sciences","Female","Sales Executive","1","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have completed 1 internships, building work experience.  I am highly motivated  and I am ready to start at your firm immediately.","Athletics"
"BB435","No","40 and Over","Non-Travel","Sales","2","2","Life Sciences","Female","Sales Executive","3","80","Recently I completed my Life Sciences major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  Already I have done 3 internships, building work experience.  I am a hard worker  and I am ready to start at your firm immediately.","Debating"
"BB450","No","Under 40","Travel_Rarely","Research & Development","2","1","Medical","Female","Healthcare Representative","5","80","I am a Medical major, with a passion to work in the corporate sector. I have done  in a role in the corporate sector.  I have already done 5 internships.  I am highly motivated  and I hope to hear from you soon.","Tennis"
