"clue","answer","pg"
"Scottish poet who wrote the poem on which this song is based:","Rabbie Burns","http://www.j-archive.com/suggestcorrection.php?clue_id=324386"
"1 who suffers from periods of depression alternating with periods of excitement","manic depression","http://www.j-archive.com/suggestcorrection.php?clue_id=324378"
"General time of day for a greeting of Guten tag","good afternoon","http://www.j-archive.com/suggestcorrection.php?clue_id=324383"
"C 8 H 10 N 4 O 2 ; Coke, Pepsi & Sanka found things go better without it","caffeine","http://www.j-archive.com/suggestcorrection.php?clue_id=324371"
"Poetic device illustrated by a peck of pickled peppers","alliteration","http://www.j-archive.com/suggestcorrection.php?clue_id=324389"
"The common name for somnambulism","sleepwalking","http://www.j-archive.com/suggestcorrection.php?clue_id=324381"
"German word meaning destroyed, ruined or all finished","<i>kaput</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=324384"
"Edward G. Robinson played this bacteriologist whose magic bullet cured syphilis","Dr. (Paul) Ehrlich","http://www.j-archive.com/suggestcorrection.php?clue_id=324374"
"He said his poem Kubla Khan was inspired by an opium dream","(Samuel Taylor) Coleridge","http://www.j-archive.com/suggestcorrection.php?clue_id=324390"
"The ego resolves conflicts between this & the superego","the id","http://www.j-archive.com/suggestcorrection.php?clue_id=324382"
"What you'd get in a restaurant asking for Herr ober","the waiter","http://www.j-archive.com/suggestcorrection.php?clue_id=324385"
"You never saw FDR smoking a cigarette without one of these","cigarette holder","http://www.j-archive.com/suggestcorrection.php?clue_id=316693"
"Word which follows union, black & flap & precedes hammer, frost & rabbit","jack","http://www.j-archive.com/suggestcorrection.php?clue_id=316650"
"Canada's basic money unit","the Canadian dollar","http://www.j-archive.com/suggestcorrection.php?clue_id=316654"
"To darken sky for crucifixion in Barabbas, scene was filmed during this astronomical event","solar eclipse","http://www.j-archive.com/suggestcorrection.php?clue_id=316658"
"It was two pillars of the community of Gaza that killed this biblical strongman","Samson","http://www.j-archive.com/suggestcorrection.php?clue_id=316700"
"Job Rosie had in WWII","riveter","http://www.j-archive.com/suggestcorrection.php?clue_id=316704"
"In Berlin, in May, this was done to works of Freud, Einstein and Thomas Mann, among others","burning","http://www.j-archive.com/suggestcorrection.php?clue_id=316694"
"Silent anagrams to this, which you hang on a tree on a silent night","tinsel","http://www.j-archive.com/suggestcorrection.php?clue_id=316651"
"Every July, about 1 million tourists stampede this Alberta city","Calgary","http://www.j-archive.com/suggestcorrection.php?clue_id=316655"
"Walt Disney retired him from movies in '53, saying he was too sweet tempered for modern tastes","Mickey Mouse","http://www.j-archive.com/suggestcorrection.php?clue_id=316659"
"He was 600 years old when he became captain of the Bible's Love Boat","Noah","http://www.j-archive.com/suggestcorrection.php?clue_id=316701"
"The person who puts the chocolate on the cherry or the wax on the candle","dipper","http://www.j-archive.com/suggestcorrection.php?clue_id=316705"
"In the U.S., hoarders of this type of coinage were jailed & fined for refusing to surrender them","gold","http://www.j-archive.com/suggestcorrection.php?clue_id=316695"
"Acrostic that one might see here","atoms","http://www.j-archive.com/suggestcorrection.php?clue_id=316652"
"The only walled city in North America, it's been called the Mecca of French Canadians","Quebec City","http://www.j-archive.com/suggestcorrection.php?clue_id=316656"
"Not surprisingly, this author's works have been filmed more than any other","Shakespeare","http://www.j-archive.com/suggestcorrection.php?clue_id=316660"
"His brothers turned green with envy when Jacob gave Joseph this piece of wearing apparel","the coat of many colors","http://www.j-archive.com/suggestcorrection.php?clue_id=316702"
"Before monks discovered photocopiers, they used these people to copy manuscripts","scribes","http://www.j-archive.com/suggestcorrection.php?clue_id=316706"
"Judge Joseph Davis ruled her Chicago World's Fair fan-dancing act legal","Sally Rand","http://www.j-archive.com/suggestcorrection.php?clue_id=316696"
"Three rhyming prefixes, all meaning half","semi-, demi-, & hemi-","http://www.j-archive.com/suggestcorrection.php?clue_id=316653"
"By dropping word shining from last line of the song America, you get this, Canada's national motto","""From Sea to Sea""","http://www.j-archive.com/suggestcorrection.php?clue_id=316657"
"To fit the song's needs in Oklahoma!, special corn twice as high as this was grown","an elephant's eye","http://www.j-archive.com/suggestcorrection.php?clue_id=316661"
"Instead of speaking to the rock to get water, Moses did this, & the Lord barred him from Canaan","he hit it","http://www.j-archive.com/suggestcorrection.php?clue_id=316703"
"Circus performer who bends over backwards for you & into pretzel-like shapes, too","contortionist","http://www.j-archive.com/suggestcorrection.php?clue_id=316707"
"Mae West told this British newcomer to Come up & see me sometime before She Done Him Wrong","Cary Grant","http://www.j-archive.com/suggestcorrection.php?clue_id=316697"
"A letter added to a kidnap victim's salvation produces this window above a door","transom","http://www.j-archive.com/suggestcorrection.php?clue_id=316698"
"Meaning eaters of raw meat, these original Canadians today occupy only about 2% of Canada","Eskimos","http://www.j-archive.com/suggestcorrection.php?clue_id=316699"
"So that Charlie Chaplin could eat his boot during The Gold Rush, it was made of this","licorice","http://www.j-archive.com/suggestcorrection.php?clue_id=316662"
"In Ghostbusters, Weaver told Murray he didn't act like a scientist, but like one of these","a game show host","http://www.j-archive.com/suggestcorrection.php?clue_id=316708"
"In '84, Jesse Helms won costliest senate race in U.S. history in this state","North Carolina","http://www.j-archive.com/suggestcorrection.php?clue_id=316751"
"With over 54 million fatalities, the bloodiest war in history","World War II","http://www.j-archive.com/suggestcorrection.php?clue_id=316739"
"Kid's coasting race named for the crates the racers are often made of","soap box derby","http://www.j-archive.com/suggestcorrection.php?clue_id=316757"
"Radiation used to sterilize food, strengthen plastics & turn Doctor Banner into the Hulk","gamma rays","http://www.j-archive.com/suggestcorrection.php?clue_id=316741"
"This state's capital is named after prospector Joe Juneau","Alaska","http://www.j-archive.com/suggestcorrection.php?clue_id=316746"
"Birth & burial place of England's most famous playwright","Stratford-upon-Avon","http://www.j-archive.com/suggestcorrection.php?clue_id=316758"
"This Ohio senator became known as Mr. Republican, though it was his father who was president","Robert Taft","http://www.j-archive.com/suggestcorrection.php?clue_id=316752"
"Religious side with which Cardinal Richelieu allied France in 30 Years War","the Protestants","http://www.j-archive.com/suggestcorrection.php?clue_id=316740"
"Force that sends your clothes to the washing machine's perimeter","centrifugal force","http://www.j-archive.com/suggestcorrection.php?clue_id=316742"
"Pig's Eye was 1st name of Minnesota capital until a church was built there, dedicated to him","St. Paul","http://www.j-archive.com/suggestcorrection.php?clue_id=316747"
"Corporate creators of Fred Flintstone & Yogi Bear","Hanna-Barbera","http://www.j-archive.com/suggestcorrection.php?clue_id=316759"
"Only 2 GOP presidents to serve 2 full terms, both West Point grads","Eisenhower and Grant","http://www.j-archive.com/suggestcorrection.php?clue_id=316753"
"Himself wounded in Vietnam, he composed this ballad about the war:","Barry Sadler (""The Green Berets"")","http://www.j-archive.com/suggestcorrection.php?clue_id=316756"
"Half the atoms in a radioactive substance decay in the time period called this","half-life","http://www.j-archive.com/suggestcorrection.php?clue_id=316743"
"State capital that was originally called Michigan","Lansing","http://www.j-archive.com/suggestcorrection.php?clue_id=316748"
"Mad, Mad, Mad, Mad World star who says his hyphen comes from the gap between his teeth","Terry-Thomas","http://www.j-archive.com/suggestcorrection.php?clue_id=316760"
"One of two distinctions held by Jeannette Rankin","the first woman in Congress","http://www.j-archive.com/suggestcorrection.php?clue_id=316754"
"What a physicist would call the base on which a teeter-totters or a see-saws","fulcrum","http://www.j-archive.com/suggestcorrection.php?clue_id=316744"
"Only state capital named for a foreign statesman, it's North Dakota's","Bismarck","http://www.j-archive.com/suggestcorrection.php?clue_id=316749"
"Contemporary French flutist who's recorded record number of classical albums","Jean-Pierre Rampal","http://www.j-archive.com/suggestcorrection.php?clue_id=316761"
"While some astronauts have already become senators, this state's Sen. Garn will be 1st to turn astronaut","Utah","http://www.j-archive.com/suggestcorrection.php?clue_id=316755"
"In E equals MC2, the E is energy, the M, mass & the C is this squared","the speed of light","http://www.j-archive.com/suggestcorrection.php?clue_id=316745"
"There were no Revolutionary War battles fought at this New Hampshire capital","Concord","http://www.j-archive.com/suggestcorrection.php?clue_id=316750"
"Company that makes Drano, Windex, Ban, Clairol, Bufferin & Excedrin","Bristol-Myers","http://www.j-archive.com/suggestcorrection.php?clue_id=316762"
"After years of neglect, the world finally responded to the famine raging on this continent","Africa","http://www.j-archive.com/suggestcorrection.php?clue_id=256913"
"1,2,3 it could be Robert E.","""Mr. Lee""","http://www.j-archive.com/suggestcorrection.php?clue_id=256918"
"Knowing that this was the state tree of Pennsylvania would have just killed Socrates","hemlock","http://www.j-archive.com/suggestcorrection.php?clue_id=256926"
"They were first allowed to play Little League ball in 1974","girls","http://www.j-archive.com/suggestcorrection.php?clue_id=256929"
"Holy cow! It has the most cattle of any country in the world","India","http://www.j-archive.com/suggestcorrection.php?clue_id=256932"
"Said when you make a faux pas","oops","http://www.j-archive.com/suggestcorrection.php?clue_id=256919"
"Rajiv became reluctant new leader of this ruling family after his mother's violent death","Gandhi","http://www.j-archive.com/suggestcorrection.php?clue_id=256914"
"In American Pie, Don McLean drove this to the levee","Chevy","http://www.j-archive.com/suggestcorrection.php?clue_id=256922"
"Those of a jack pine's remain tightly closed & hang on the tree till activated by fire","pinecones","http://www.j-archive.com/suggestcorrection.php?clue_id=256927"
"Originally ridden by such dignitaties as Queen Victoria, this 3-wheeler is now mostly for kids","tricycle","http://www.j-archive.com/suggestcorrection.php?clue_id=256930"
"A pilgrimage to Mecca ends in this country","Saudi Arabia","http://www.j-archive.com/suggestcorrection.php?clue_id=256933"
"Loads, gobs, or heaps of anything","oodles","http://www.j-archive.com/suggestcorrection.php?clue_id=256920"
"This country's Progressive Fed. Party broke racial barriers by granting blacks membership","South Africa","http://www.j-archive.com/suggestcorrection.php?clue_id=256915"
"Her song, Anticipation, ended up on Heinz ketchup commercial","Carly Simon","http://www.j-archive.com/suggestcorrection.php?clue_id=256923"
"Also called the laurel, this tree's leaves are used to flavor foods","bay","http://www.j-archive.com/suggestcorrection.php?clue_id=256928"
"Mrs. Jumbo's big-eared baby boy","Dumbo","http://www.j-archive.com/suggestcorrection.php?clue_id=256931"
"Two of three Asian countries Crosby/Hope Road pictures went to","(2 of) Bali, Singapore & Hong Kong","http://www.j-archive.com/suggestcorrection.php?clue_id=256934"
"Name for beer hall brass band that plays like this :","oompah","http://www.j-archive.com/suggestcorrection.php?clue_id=256921"
"Father Jerzy Popieluszko was murdered by henchmen of this country's oppressive regime","Poland","http://www.j-archive.com/suggestcorrection.php?clue_id=256916"
"Chuck Berry's 1st hit, it sounded like he was asking for mascara","""Maybellene""","http://www.j-archive.com/suggestcorrection.php?clue_id=256924"
"Formerly the capital of Japan, it's also an anagram of the current capital","Kyoto","http://www.j-archive.com/suggestcorrection.php?clue_id=256935"
"Chinese tea for two","oolong","http://www.j-archive.com/suggestcorrection.php?clue_id=256936"
"Newsweek called British strike in this industry the country's longest, costliest & most bitter","coal","http://www.j-archive.com/suggestcorrection.php?clue_id=256917"
"The 2 left-handed members of the Beatles","Paul & Ringo","http://www.j-archive.com/suggestcorrection.php?clue_id=256925"
"James Bond","007","http://www.j-archive.com/suggestcorrection.php?clue_id=256937"
"Only star in northen hemisphere sky that never appears to move","Polaris (north star)","http://www.j-archive.com/suggestcorrection.php?clue_id=256938"
"Contrary to TV, in the 1st year on the Oregon Trail no wagon train was attacked by them","Indians","http://www.j-archive.com/suggestcorrection.php?clue_id=256949"
"The World Book, for example","encyclopedia","http://www.j-archive.com/suggestcorrection.php?clue_id=256952"
"Consume, imbibe & swing is another way of stating this hedonistic philosophy","eat, drink & be merry","http://www.j-archive.com/suggestcorrection.php?clue_id=256943"
"He said in his next sequel he'd like to play God, and the devil, and the Virgin Mary","George Burns","http://www.j-archive.com/suggestcorrection.php?clue_id=256957"
"It took place June 2, 1953 at Westminster Abbey","crowning of Queen Elizabeth II","http://www.j-archive.com/suggestcorrection.php?clue_id=256948"
"In 1980-81, this planet was found to have 14 small moons besides its 9 largers ones","Saturn","http://www.j-archive.com/suggestcorrection.php?clue_id=256939"
"The purpose of the spring round-up was to do this to as many calves as possible","brand","http://www.j-archive.com/suggestcorrection.php?clue_id=256950"
"36-22-36","measurements","http://www.j-archive.com/suggestcorrection.php?clue_id=256953"
"Effect is the immediate result of this","cause","http://www.j-archive.com/suggestcorrection.php?clue_id=256944"
"a.k.a. Otis B. Driftwood, Rufus T. Firefly & Dr. Hugo Z. Hackenbush","Groucho Marx","http://www.j-archive.com/suggestcorrection.php?clue_id=256958"
"In 1956, JFK lost Dem. nomination to Sen. Kefauver for this national office","vice president","http://www.j-archive.com/suggestcorrection.php?clue_id=256962"
"Polish astronomer who was 1st to theorize earth isn't the center of the universe","(Nicolaus) Copernicus","http://www.j-archive.com/suggestcorrection.php?clue_id=256940"
"Only 2 days after this service began the Pony Express came to an end","telegraph","http://www.j-archive.com/suggestcorrection.php?clue_id=256951"
"Bevy of beauties who shake their pom-poms for the Cowboys or Rams for example","cheerleaders","http://www.j-archive.com/suggestcorrection.php?clue_id=256954"
"Rodin aptly expressed the task of a philosopher in this famous statue","<i>The Thinker</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=256945"
"Film in which Robert DeNiro & James Woods, of Italian & Irish ancestry, play Jewish gangsters","<i>Once Upon a Time in America</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=256959"
"Compass needles are always attracted to this spot in northern Canada","magnetic north pole","http://www.j-archive.com/suggestcorrection.php?clue_id=256941"
"Unlawful killing of another person without implied malice","manslaughter","http://www.j-archive.com/suggestcorrection.php?clue_id=256955"
"Method of reasoning which goes from general statements to specific conclusions","deduction (deductive method or deductive reasoning)","http://www.j-archive.com/suggestcorrection.php?clue_id=256946"
"The movie is called Garbo Talks, but she has all the lines","Anne Bancroft","http://www.j-archive.com/suggestcorrection.php?clue_id=256960"
"Mentioned 3 times in the Bible, this constellation is named for a legendary Greek hunter","Orion","http://www.j-archive.com/suggestcorrection.php?clue_id=256942"
"Big word which means each of these words has but one part","monosyllabic","http://www.j-archive.com/suggestcorrection.php?clue_id=256956"
"Philosophy portrayed in More's Utopia & personified in Don Quixote's tilting at windmills","idealism","http://www.j-archive.com/suggestcorrection.php?clue_id=256947"
"Himself a dying man, he played a man who chooses to die in his last film Soylent Green","Edward G. Robinson","http://www.j-archive.com/suggestcorrection.php?clue_id=256961"
"The answer to 6 5 &nbsp;divided&nbsp;by&nbsp; 4 / 7 &nbsp;x&nbsp;0","zero","http://www.j-archive.com/suggestcorrection.php?clue_id=290336"
"The average adult male needs 3000 a day, a female, 2200","calories","http://www.j-archive.com/suggestcorrection.php?clue_id=290329"
"Play in which Queen Gertrude, while watching a play, says, The lady doth protest too much","<i>Hamlet<i>","http://www.j-archive.com/suggestcorrection.php?clue_id=290332"
"Egyptian-born actor Michael Shalhoub, his most famous role was a Russian doctor","Omar Sharif","http://www.j-archive.com/suggestcorrection.php?clue_id=290333"
"In California, this auto necessity is made at Folsom Prison","license plates","http://www.j-archive.com/suggestcorrection.php?clue_id=290349"
"Number of first-class stamps in a $20 roll","a hundred","http://www.j-archive.com/suggestcorrection.php?clue_id=290337"
"Though leader in total world food production at 35%, this continent has 59% of the world's population","Asia","http://www.j-archive.com/suggestcorrection.php?clue_id=290330"
"At the 1st Battle of Bull Run, Bernard Bee said, There is Jackson, standing like... this","a stone wall","http://www.j-archive.com/suggestcorrection.php?clue_id=290343"
"Italian opera set in Egypt featuring this march:","<i>Aida</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=290335"
"They were 1st trained to help with police work about 1900 in Ghent, Belgium","dogs","http://www.j-archive.com/suggestcorrection.php?clue_id=290350"
"Decimal equivalent of 3/4",".75","http://www.j-archive.com/suggestcorrection.php?clue_id=290338"
"This process does not heal food, but preserves it","curing","http://www.j-archive.com/suggestcorrection.php?clue_id=290331"
"Pop artist who claimed in the future everyone will be famous for 15 minutes","Andy Warhol","http://www.j-archive.com/suggestcorrection.php?clue_id=290344"
"Leader assassinated at parade celebrating 8th anniversary of Yom Kippur War","Sadat","http://www.j-archive.com/suggestcorrection.php?clue_id=290347"
"It's estimated there are about 40,000 separate police agencies in this country","the United States","http://www.j-archive.com/suggestcorrection.php?clue_id=290351"
"Sum of the 3 Billy Goats Gruff, the 3 Little Pigs & Goldilocks & the 3 Bears","10","http://www.j-archive.com/suggestcorrection.php?clue_id=290339"
"Paris cooking school named after ribbons worn by the Order of the Holy Ghost","Cordon Bleu","http://www.j-archive.com/suggestcorrection.php?clue_id=290341"
"I can't mate in captivity. explained this feminist on why she's never married","Gloria Steinem","http://www.j-archive.com/suggestcorrection.php?clue_id=290345"
"Albanian founder of the last Egyptian dynasty; his namesake is a famous prizefighter","Muhammad Ali","http://www.j-archive.com/suggestcorrection.php?clue_id=290348"
"The square root of 225","15","http://www.j-archive.com/suggestcorrection.php?clue_id=290340"
"Colorful term used to describe effort to increase food production in developing countries","the green revolution","http://www.j-archive.com/suggestcorrection.php?clue_id=290342"
"Completes the saying The trouble with a kitten is that...","it grows to a cat","http://www.j-archive.com/suggestcorrection.php?clue_id=290346"
"A 43-year old mother of 4 recently broke up a $3.5 billion ring dealing in this drug","cocaine","http://www.j-archive.com/suggestcorrection.php?clue_id=290352"
"'70s president who, as a model, once appeared in Look magazine","Gerald Ford","http://www.j-archive.com/suggestcorrection.php?clue_id=290353"
"A sparking rock or a Michigan city","Flint","http://www.j-archive.com/suggestcorrection.php?clue_id=290363"
"It was known as the dingus, the stuff dreams are made of & the black bird","the Maltese Falcon","http://www.j-archive.com/suggestcorrection.php?clue_id=290354"
"3-letter term for fashions that come & go quickly, such as hula hoops & coonskin caps","a fad","http://www.j-archive.com/suggestcorrection.php?clue_id=290365"
"Vampire variety of these actually do feed on the blood of other animals","bats","http://www.j-archive.com/suggestcorrection.php?clue_id=290358"
"Sport defined by Hemingway as Death in the Afternoon","bullfighting","http://www.j-archive.com/suggestcorrection.php?clue_id=290373"
"This office remained vacant during Truman's 1st administration","the vice-presidency","http://www.j-archive.com/suggestcorrection.php?clue_id=290359"
"Character from American history played on screen more than any other","Abe Lincoln","http://www.j-archive.com/suggestcorrection.php?clue_id=290355"
"Jus soli, the right of soil, makes you this in the country of your birth","a citizen","http://www.j-archive.com/suggestcorrection.php?clue_id=290366"
"General name for the wild rabbits of Canada, the U.S. & Mexico; Peter is one","a cottontail","http://www.j-archive.com/suggestcorrection.php?clue_id=290370"
"In 1843, the Merriams took over the rights to his dictionary","Webster","http://www.j-archive.com/suggestcorrection.php?clue_id=290374"
"Said he could either run the country or control his daughter Alice, But not both","Teddy Roosevelt","http://www.j-archive.com/suggestcorrection.php?clue_id=290360"
"A sequel's now being planned to this top grossing film, called in France S.O.S. Phantomes","<i>Ghostbusters</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=290356"
"Not a radioactive clan, but the core group of one's relatives","the nuclear family","http://www.j-archive.com/suggestcorrection.php?clue_id=290367"
"Before hunting, a pack of these meets & howls to keep other packs from its territory","wolves","http://www.j-archive.com/suggestcorrection.php?clue_id=290371"
"Her Giant grew into an epic movie","Edna Ferber","http://www.j-archive.com/suggestcorrection.php?clue_id=290375"
"Probably our most scholarly president, he was only one to earn a Ph.D.","Woodrow Wilson","http://www.j-archive.com/suggestcorrection.php?clue_id=290361"
"To protect his image, Buster Keaton's MGM contract did not allow him to do this onscreen","smile","http://www.j-archive.com/suggestcorrection.php?clue_id=290357"
"U.S. equivalent to the bourgeoisie which developed between the aristocrats & the peasants in France","business class or middle class (merchant class accepted)","http://www.j-archive.com/suggestcorrection.php?clue_id=290368"
"This swimming African animal yawns as an aggressive gesture before it attacks","a hippo","http://www.j-archive.com/suggestcorrection.php?clue_id=290372"
"Death Comes for him Willa Cather's classic","the Archbishop","http://www.j-archive.com/suggestcorrection.php?clue_id=290376"
"In 1940, FDR beat him to win 3rd term","Wendell Willkie","http://www.j-archive.com/suggestcorrection.php?clue_id=290362"
"4-generation film family which includes a knighted actor, his father, daughters & grandchildren","the Redgraves","http://www.j-archive.com/suggestcorrection.php?clue_id=290364"
"It's suffered by one who goes from his simple society to a very complex one","culture shock","http://www.j-archive.com/suggestcorrection.php?clue_id=290369"
"Novelist & poet who went Trout Fishing in America","(Richard) Brautigan","http://www.j-archive.com/suggestcorrection.php?clue_id=290377"
"This just about wraps up a burrito or taco","a tortilla","http://www.j-archive.com/suggestcorrection.php?clue_id=320491"
"The British call this element aluminium","aluminum","http://www.j-archive.com/suggestcorrection.php?clue_id=320558"
"You can muscle your way up in this sport by doing the snatch or clean & jerk","weightlifting","http://www.j-archive.com/suggestcorrection.php?clue_id=320496"
"Dashing to the florist, or the Kentucky Derby","the Run for the Roses","http://www.j-archive.com/suggestcorrection.php?clue_id=320498"
"Rashomon, Best Foreign Film of '51, was from this country","Japan","http://www.j-archive.com/suggestcorrection.php?clue_id=320499"
"You remove them before entering a house in Japan","your shoes","http://www.j-archive.com/suggestcorrection.php?clue_id=320568"
"Hungarian for pepper, it spices up goulash","paprika","http://www.j-archive.com/suggestcorrection.php?clue_id=320492"
"Sport featured in the movie Heaven Can Wait","football","http://www.j-archive.com/suggestcorrection.php?clue_id=320497"
"Soap opera Custer or Patton might have gone to if sick","<i>General Hospital</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=320562"
"Like, to these cats & chicks, Kerouac was the most","the beatniks (the Beat Generation)","http://www.j-archive.com/suggestcorrection.php?clue_id=320500"
"Late every December 31st, people across the nation watch this city drop the ball","New York City","http://www.j-archive.com/suggestcorrection.php?clue_id=320569"
"What it's called when I eats me spinach as a major ingredient of an Italian dish","Florentine","http://www.j-archive.com/suggestcorrection.php?clue_id=320493"
"In a meet, these are performed in this order: forward, back, reverse, inward & forward with a half twist","dives","http://www.j-archive.com/suggestcorrection.php?clue_id=320559"
"Describes how Dorothy left Kansas, or a Mitchell novel","<i>Gone with the Wind</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=320563"
"The only human figure on the standard B & W test pattern","the Indian head","http://www.j-archive.com/suggestcorrection.php?clue_id=320566"
"On the belief the sun needed nourishment, this civilization sacrificed about 20,000 people a year","the Aztecs","http://www.j-archive.com/suggestcorrection.php?clue_id=320570"
"Served like rice, this common N. African dish is steamed semolina flour","couscous","http://www.j-archive.com/suggestcorrection.php?clue_id=320494"
"With 1 ½ billion viewers, this '82 championship had largest TV audience in sports history","World Cup","http://www.j-archive.com/suggestcorrection.php?clue_id=320560"
"A den painted deep red, or Sherlock Holmes' first story","<i>A Study in Scarlet</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=320564"
"Popular TV Western featuring this theme: I'll tell you a story, a real true life story / A tale of the Western frontier / The West, it was lawless / But one man was flawless / And his is the story you'll hear...","<i>Wyatt Earp</i>","http://www.j-archive.com/suggestcorrection.php?clue_id=320567"
"Hebrew ceremony which takes place under a canopy called a huppa","a wedding (a marriage)","http://www.j-archive.com/suggestcorrection.php?clue_id=320571"
"Type of seafood French call Coquilles St. Jacques because its shell was emblem of St. James church","a scallop","http://www.j-archive.com/suggestcorrection.php?clue_id=320495"
"'57 MVP, this guard led NBA in assists for 8 straight seasons with Boston Celtics","Bob Cousy","http://www.j-archive.com/suggestcorrection.php?clue_id=320561"
"Honest Abe's diaries, or his building toy sets","Lincoln Logs","http://www.j-archive.com/suggestcorrection.php?clue_id=320565"
"Part of a pilgrim a Pope washes on Maundy Thursday","feet","http://www.j-archive.com/suggestcorrection.php?clue_id=320572"
"Highest elevation in this Sunshine State is only 345 feet","Florida","http://www.j-archive.com/suggestcorrection.php?clue_id=321634"
