"","comments","neighbourhood_cleansed"
"15600.1","I'm hesitant to give this 2 stars -- I'd like to give it one or none -- because I got BED BUGS from this place!  But I have to be fair and say that the location and convenience are great; it's super close to the T, great point from which to explore Boston and restaurants and shops close by. Also, Sean was accommodating and helpful; he brought us more bedding when we needed it and also let us keep our bags in the studio for a few hours past check out time on the day we left so that we wouldn't have to traipse through Boston with them.  BUT, and it's a big BUT, this place feels like it hasn't had a good cleaning in years.  There is dust everywhere and worst of all, the mold was THICK in the bathroom.  So bad and so nasty that I went out and bought tile cleaner and cleaned the thing myself!  When Sean came by (to drop the bedding) he noticed I had cleaned and said something about oh, it'll just be back because there isn't ventilation.  Um, no, it won't come back if you clean regularly.  He also said something along the lines of, well, that's why it's not $200 a night.  Again, no.  I don't care how much I'm paying, I expect a clean and healthy place -- and mold in every crevice of the bathroom is just plain disgusting and unhealthy.  There are also missing tiles in the bathroom floor and some are coming up.  I took pictures of all this by the way, because I couldn't believe it. I wouldn't care so much about that if -- again -- I felt that the bathroom floor had been properly scrubbed in the last year or so.  But whatever, I could get over all that -- it's the BED BUGS I'm mad about.  Lo and behold I come home and to dozens -- maybe hundreds? -- of bites all over my body.  I'd post pictures but they are rather gross. It takes a few days for them to appear so I didn't realize it till after I left, because believe me, otherwise I would have called Sean and AirBnB and demanded a new place to stay.  So yeah, here I am at home, now frantically washing all my clothes and linens.  So if the place were cleaned and exterminated, I'd give it a 3 or 4 (it is very small) but as is, I'd say go somewhere else!","Mission Hill"
"15769","Small studio about the size of a bedroom with a bathroom.  Reminded me of living in a college dorm.  The price was the main selling point and the area around the studio was good.  Plenty of places to eat nearby and close to a number of colleges as well as the train line.  The building is quite old and the walls are thin.  Might not be good for light sleepers as there is a bit of noise and the studio is near the subway.  

Sean was nice and very easy to get a hold of for questions.  The lockbox was easy to use.  I arrived a bit early but was able to get in.  Sean was by the place around 3 to clean up.

To sum it up, it's a good cheap place to sleep for a night or two on a budget.  You'd have a hard time finding a place at this price in Boston.","Mission Hill"
"28670","Jazz's place was absolutely beautiful! The bed was comfy and the bathroom was extremely clean. Jazz was an incredibly welcoming host. She let me drop off my bags before check in time and offered me coffee, tea, and food in the morning. All around it was a great experience!","Leather District"
"28656","This was a very clean, comfortable, and pleasant place to stay.  The location can't be beat and Jazz went out of her way to make me feel welcome.  A+++!","Leather District"
"16505","Nicolas was a fantastic host - communicative, prompt, generous, responsive.  The place itself was equally divine.  A warm, elegant, luxurious space with comfortable beds, great seating areas and a perfect layout.  The area can be a bit raw and boisterous, but that's the Leather District for you.. All in all, a really excellent stay.","Leather District"
"28620","If you have a change to stay at Jazz's, do it. She was so amazingly welcoming. She gave me great suggestions for places to eat and really made me feel at home. Her apartment was lovely and clean. It was really a great place to stay if you are in Boston. The location is great too. It was so easy to walk everywhere. Staying here really made my trip. I would definitely stay here again.","Leather District"
"28686","Absolutely perfect! Everything was spotless, Jazz was flexible in the key handoff and told me to make myself at home. She even provided coffee and breakfast in the morning. The location was safe and quiet as well as within walking distance to plenty. I had to stay here two nights while traveling for work, it was my first Airbnb experience and I will definitely use Airbnb again as well as recommend her location.","Leather District"
"15798.1","Sean was prompt in answering phone calls, though he seemed not to be reading SMS and emails. So contact him by phone calls. 

Pros: The place was overall clean. The location is very convenient and close to the Green Line and many shops. The fridge and the microwave oven worked properly. 

Cons: The studio is small and the facilities inside seemed quite old. The faucet in the bathroom could not be closed tightly. The sound of dribbling of water was annoying and it was quite a waste of water. (I have known this from the host manual beforehand but could not understand why Sean did not fix it.) The location is too close to Huntington Ave and the noise at night was horrible. The air conditioner did not seem to work properly and was quite noisy. Interestingly we managed to use the noise of the air conditioner as """"white noise"""" to cover the noise from outside so that we had a better sleep at night... 

You got what you paid for. ","Mission Hill"
"28533","Colleen & Joseph were such great hosts. When we arrived Colleen met us at their beautiful loft in the Leather District. They had a bottle of wine, cheese and salami waiting for us, which was so sweet. Colleen was very attentive and helpful. She emailed us an extensive list of restaurants/museums & must see attractions in Boston. The neighborhood was amazing we would absolutely stay there again.. You must get a martini from Seth at the french restaurant/bar Les Zygomates directly across the street from the loft.","Leather District"
"28683","Exceptional hostess, apartment, and location, for a fantastic price!","Leather District"
"15571","Positive points: this very small flat (definitively for a single) is well situated, very close to a T station linked to downtown in 15mn.
Negative: it requires to be refurbished urgently: very old, numerous failures, electric network outdated and dangerous, but it is also dirty (room and washroom). Sean do not do the minimum after each stays. Additionally, you are not allowed to switch off the old PC, so you have the noise made by the CU all along the night (+ the fridge noise, plus the dropping tap + the roar of the avenue...): don't miss your ear plugs.
I met a stressed Sean 15 mn on arrival and bye-bye. No guest book in the room with key informations and advices...
Sean is not fair enough and do not fulfill the Airbnb minimum requirements. 
The price is good... until you discover the reality.","Mission Hill"
"15738","This room was perfect for me.  I came to Boston to visit my daughter and this place is only a few blocks from her apartment.  
It is exactly as billed.  It's an inexpensive alternative to very expensive hotels in Boston and conveniently located near the T.  An earlier reviewer described it best, it's like staying on the couch of a college student. I'd like to add it's better than that because you're sleeping on a comfy bed and you have your own bathroom! I could have stayed on my daughter's couch but didn't really want to share a bathroom with 4 girls or have to keep their hours.   
This is a student neighborhood so there's a bit more street noise on Friday and Saturday nights.  But the building is very quiet.
Sean was very attentive responding quickly every time I contacted him.

","Mission Hill"
"28653","This is an elegant, spotless loft, perfectly situated in Boston, in a safe quiet building. All amenities provided! ","Leather District"
"28703","Jazz was the best host I could have asked for. She was flexible with my flight delay, and had the place spotless upon arrival. Located in awesome Chinatown; you are a quick cab ride from many great locations. Dealing with Jazz made my first Boston experience all the better. I would highly recommend anyone looking for a great spot to stay in Boston to give Jazz a shout!","Leather District"
"25423","The hosts were very friendly and helpful. They work from home so they are home all the time, but they were respectful of my privacy. Neighborhood was a little rough, but it's close to the T and I didn't have any problems. The biggest downside to staying here; there are no keys! For the most part, this is not an issue, unless it is. I had an instance where it was extremely inconvenient/frustrating, and almost scuttled the work portion of my work-cation. Also, I had one morning where I needed to be up early and the hosts were playing video games loudly until early in the morning. I asked them to keep it down, and they did get a little quieter, but sucks to have to ask. If you are planning to live on the hosts schedule, or don't really care about your schedule, this place is comfortable. If your time is not flexible, you may want to keep looking.","Mission Hill"
"15593","Sean was on time and very helpful. Location is great, very close to subway and city center. Building is very old and room/bed could have been cleaner. Overall it was a great stay, I would consider staying there again. Thanks Sean!","Mission Hill"
"15700.1","We stayed at the apartment for one night. Sean was helpful and accurate in the information provided, although we did not meet. At the time of booking we were aware of the small size of the study and mattress left on the floor (learned from previous reviews); the only positive aspect that we found was the proximity to public transportation.
The apartment was awfully dirty: stained mattress cover and probably unwashed, half an inch of dust everywhere, from shutters to tables and kitchen. On the floor of the bathroom we found several hairs, half-finished bars of soap and detergents that probably dated back to a few years ago. From the ceiling dangled the smoke detector. Finally, the noise coming from the street was rather annoying.
Concluding this apartment does not reflect the photos presented on AirBNB, as already reported by other users. Boston is expensive, so we opted for this solution (relying on the photos and on some good reviews). Certainly We didn't expect a hotel service but certainly not the situation in which we found ourselves. We wouldn't recommend this experience to anyone.
","Mission Hill"
"28650","I loved staying at Jazz's airy, modern loft apartment! I really enjoyed meeting and hanging out with Jazz -- she is super sweet and thoughtful. She's highly knowledgeable about Boston and happy to help in any way she can. The location couldn't have been more convenient for me. It's a quick walk from South Station and about a 20 minute walk to the Convention Center, where I had to be for an expo. I will definitely stay here again if I ever need to be in Boston! Oh, and I am obsessed with the pillowy, soft bed and sheets! Had great sleep. ","Leather District"
"28654","Best property I stayed in while in the states. Clean, very close to public transport. Only briefly met Jazz but she was very friendly and helpful. Will definitely stay again if in Boston","Leather District"
"28536","This is a perfect spot for two couples to stay for a few days or more. The location could not be much better – near the center of everything. A major transit hub with an easy connection to the airport is a block away and all of the tourist attractions are within walking distance.
It is a spacious, fully equipped loft conversion with lots of character. There are two large bedrooms with very comfortable beds that share a full bath, a well equipped kitchen, a half bath and lots of room for relaxing. The pictures of the spaces are accurate, it really is that great.
The hosts are very accommodating and flexible with check in and out times. Complimentary wine, beer and snacks were a nice surprise.
Overall we highly recommend this loft as a great place to stay while exploring Boston.
","Leather District"
"15621","GOOD: 
The AREA is quite nice; there is a little plaza right around the corner that sort of serves as the starting point of your day; any items you may need, you can pick up at the Stop & Shop before heading into the city (twenty minutes by public transit) or wherever you plan on going. 

Sean is very nice; he gave us information about interesting places to visit in the city - less touristy, and more hip and fun and affordable - which was perfect.

BAD:
Lo and behold, there are STILL BED BUG problems. Despite thoroughly checking the mattress and the frame, we woke up the next morning to find a few bugs in plain sight and found more amongst our things. Had to go through the trouble of sanitizing and throwing away everything of ours WHILE ON OUR TRIP so we didn't bring it home (or to the hotel we checked into the next day).

Even aside from the bed bugs, though, the cleanliness of the place was hard to bear. Sean arrived at around the same time as us, and let us into a dirty apartment. He pulled off all the sheets and towels in front of us, piled them up, and put new (albeit still stained) sheets on. His cleaning of the bathroom involved running the sink and letting the water rinse it out. There was NO CLEANING of the toilet, shower, etc. and there were hairs in the shower. There were also dirty dishes left in the sink, which was completely unfathomable to us. We ended up going to the Stop&Shop to pick up cleaning supplies and cleaned the bathroom ourselves just to feel comfortable.

It's a shame to say because Sean himself was great; he was completely understanding about the bed bug scenario and our early checkout. But all that said, the guests should feel comfortable; not have that grimy feeling that stops them from being able to relax in their bed. 

AirBNB's customer service was excellent; they were available to help us the day of, and responded quickly and with care to the situation.

All in all, the low price was not worth the stress and time lost from our vacation. Dish out a couple extra dollars and snag a place with a higher a cleanliness rating.
","Mission Hill"
"28605","This apartment was stunningly beautiful. It was very well located near South Street train station and it was in a safe area near the financial centre. Jazz was a very welcoming host and was keen to make the apartment feel like home straight away. It was immacuately clean and very modern and there was virtual silence for sleeping at night. I would certainly recommend it to others and it would be my number one choice if I ever return to Boston.","Leather District"
"27480.2","I would not recommend staying here.

Location - The apartment was in a good area as far as transit and walking goes.  I didn't have any trouble finding parking on the street and left my car for 2 nights without issue.

Bedroom - The bedroom was tiny.  The picture is just about the entire room.  The apartment is just above a Subway and the smell of bread was extremely strong.  The Subway also plays music starting sometime around 6:00 - 6:30 AM and it woke me up each morning.

Bathroom - The bathroom was shared, which is awkward in some instances but overall not terrible.  Problem is the bathroom was gross.  There was hair everything and a huge clump in the drain that swirled around when I turned the shower on.  I was so grossed out from the shower that I did not even shower the last morning.

Cleanliness - The bedroom was clean but that is it.  I already mentioned the bathroom but the apartment itself wasn't overly clean either.  In the middle of the living room there was a huge rack where the host was drying her pants.  I wouldn't care too much that the place was a bit messy but the host had a rule about no shoes and asked us to wear these ridiculous """"sandals"""" around the place.  

Friendliness - I would not classify the host as friendly.  She wasn't rude but definitely wasn't nice.  Every encounter was awkward.  I asked if I could store my bike on her patio and she just flat refused.  Her patio is quite large and empty.  She just wasn't very accommodating. 

Sleeping - The room was listed as sleeping three but what we found was one """"bed"""" and one air mattress.  The bed was not comfortable and the air mattress is an air mattress.  I would not recommend staying here with more than two guests.

Overall - I would not recommend that you stay here.  I was looking for alternative places to stay as soon as we """"checked in"""" but on such short notice I wasn't able to find anything.  Next time I travel to Boston I will absolutely not considering staying here again no matter the price.  

Final Note - I honestly felt that the profile for this place is borderline false advertising.  The room doesn't really sleep three, it's not cozy at all (it's tiny), it smells of Subway (not in a good way), the host isn't friendly, and the host isn't very accommodating.  If you have a choice, choose to stay elsewhere.","Mission Hill"
"15771","We stayed at Sean's on St Patrick's Day and it was exactly as described and pictured.  He communicated well and made it very easy to check into his place.  The bed was definitely bigger in the picture and quite comfortable.  The apartment was incredibly quiet.  Unfortunately even on the second floor, the T was very loud by about 5:30 in the morning.  If you are sensitive to that sort of thing, you should bring earplugs.  My significant other did and it was a little easier for him to sleep.  We parked in a parking garage about a block down at the eye institute and it cost us $25 for the 24 hour stay.  This place was a great little place to crash while staying in Boston.  Thanks, Sean!","Mission Hill"
"28669","I have nothing bad to say at all about this place OR the host! Jazz was amazing. I was in Boston for a work conference; Jazz was accommodating of my schedule and made it really comfortable. The loft was so beautiful I wish I could have been inside more! Seriously the loft is amazing. But I had a great time exploring Boston and Jazz helped me enjoy it even more by giving me an amazingly comfy bed to enjoy, everything I needed to feel right at home and some awesome advice about how to get around the city.  I would stay with her again and again.","Leather District"
"28671","Jazz was superb. The most hospitable and generous host.  The apartment is gorgeous and the bed is super comfy. Two big thumbs up!","Leather District"
"28658","Great host! Great place!
Will try to stay there again next time I am in Boston....

","Leather District"
"15502","The flat was easy to find and very quiet. So near the train station. I did enjoy Brigham Circle very much and everyone seemed friendly. Plenty of pubs-bars places to eat. Sean was lovely.Loved Boston and def going back. I  couldnt believe how easy and quick Boston was to navigate. Would def stay here again.","Mission Hill"
"13226","Nice apartment.  Clean.  Host is friendly and accommodating.","Leather District"
"28677","Jazz was very flexible with my arrival time (3-hr delay due to weather) and was warm and welcoming when I finally found my way. Her space is beautiful--minimalist, elegant, clean and modern--and the bedroom was incredibly cozy. I plan to stay here any time I find myself in Boston and would recommend Jazz and her spot to friends!","Leather District"
"28700","The apartment was great. Very clean, spacious and the location in the middle of the city is amazing! You can literally walk everywhere. I felt very much at home there. 
Jazz was a great host. Actually she was more than a big sister/friend than a host to me and we really had a good time together. 

I definitely recommend staying here!","Leather District"
"15801","Avoid this place. It felt like a very run down dorm room in a dirty building. The air conditioning cooled the room but the ball bearings are going so it made loud screeching noises periodically throughout the night. Thankfully I had ear plugs along. The bed """"frame"""" is made with 4 2x4/s holding up the sagging mattress. The sink is not just leaky it is constantly on (hot at that) - an example of what is wrong with this place. This place was steps below the worst motel I have ever stayed in.  I also am bothered by staying in places where after paying I get informed that I should not let anyone in the place know that I am with airbnb - we were afraid the manager, who kept staring at us, would ask questions and kick us out. ","Mission Hill"
"27480.3","I would not recommend staying here.

Location - The apartment was in a good area as far as transit and walking goes.  I didn't have any trouble finding parking on the street and left my car for 2 nights without issue.

Bedroom - The bedroom was tiny.  The picture is just about the entire room.  The apartment is just above a Subway and the smell of bread was extremely strong.  The Subway also plays music starting sometime around 6:00 - 6:30 AM and it woke me up each morning.

Bathroom - The bathroom was shared, which is awkward in some instances but overall not terrible.  Problem is the bathroom was gross.  There was hair everything and a huge clump in the drain that swirled around when I turned the shower on.  I was so grossed out from the shower that I did not even shower the last morning.

Cleanliness - The bedroom was clean but that is it.  I already mentioned the bathroom but the apartment itself wasn't overly clean either.  In the middle of the living room there was a huge rack where the host was drying her pants.  I wouldn't care too much that the place was a bit messy but the host had a rule about no shoes and asked us to wear these ridiculous """"sandals"""" around the place.  

Friendliness - I would not classify the host as friendly.  She wasn't rude but definitely wasn't nice.  Every encounter was awkward.  I asked if I could store my bike on her patio and she just flat refused.  Her patio is quite large and empty.  She just wasn't very accommodating. 

Sleeping - The room was listed as sleeping three but what we found was one """"bed"""" and one air mattress.  The bed was not comfortable and the air mattress is an air mattress.  I would not recommend staying here with more than two guests.

Overall - I would not recommend that you stay here.  I was looking for alternative places to stay as soon as we """"checked in"""" but on such short notice I wasn't able to find anything.  Next time I travel to Boston I will absolutely not considering staying here again no matter the price.  

Final Note - I honestly felt that the profile for this place is borderline false advertising.  The room doesn't really sleep three, it's not cozy at all (it's tiny), it smells of Subway (not in a good way), the host isn't friendly, and the host isn't very accommodating.  If you have a choice, choose to stay elsewhere.","Mission Hill"
"28678","Jazz was a great host and the location was perfect for work travel.","Leather District"
"28655","Perfect location (super convenient for my conference at the World Trade Center) and exactly as advertised.  Jazz was vey helpful, friendly, and unobtrusive. I had a great stay and would come back if I were in town again. An ideal AirBnB experience!","Leather District"
"28707","Everything was great. All communication from very beginning clear and prompt. The loft was ideal. Very comfortable and spacious. Would and will stay again. a 10 out of 10.","Leather District"
"789","I had a long stay there for business (~20 days).  Unfortunately my experience with Sean was not fun.  I will try to review his place in fairness.

Pros:
-The location was perfect. Very close to subway, buses, hubway, stop and shop, walgreens, restaurants and cafe.
-Good price. Based on the location, this low price is very attractive.
-Kitchenette is not gorgeous but has everything you need for simple stuff.  A grill, refrigerator and freezer, microwave (Sean brought it for me), pans, and silver ware.  Espresso machine if you'd like.
-Small but ok room. A Bed, a small sofa, little space to put a suitcase, and kitchenette. That's it.  I put one of my suitcases under the bad.  You have to be creative to find a place to eat and use laptop.

Cons:
-The bath room was nasty. There was no cleaning tools and I wonder when it was cleaned last time.  The bath tub was not draining water very well: it took hours to become empty.  I contacted Sean and asked to fix it.  After 2 weeks or so, Sean came to the room and started a big construction --- breaking the walls and floor around the bath tub and changing the drain pipe.  Not only that I couldn't use the bath tub for several days, this tiny room was cover by dusts, including my foods and bed.  I couldn't accept this conditions, and called Airbnb fro help.  After sending photos, Airbnb understood the situations, refunded for the remaining days, and allowed me to relocate to a nearby hotel by covering some cost for it.  Although Airbnb took care of this incident pretty well, it was a lot of unnecessary hustle during my business trip.
-Wifi was really slow.
-Sean's response to my Emails were slow.  Even after I requested him to change towels and sheets, he didn't respond to most of the time.

Summary:
I had a big trouble with Sean, but now he has fixed the problem with the bath tub.  Is it worth staying now? Maybe.
Airbnb customer service was nice.  It was hard to find contact number (phone number hidden)), but after I explained my troubles their response was generous.
","Mission Hill"
"15800","Never met host but easy to get key. It was a great location and wifi, adequate but basic and fair for the price. But Sean you have to fix the leak in the bathroom sink, just a washer, and defrost the refrigerator. You are wasting a lot of water and electricity.","Mission Hill"
"28709","Jazz was a lovely host. Her place is gorgeous, clean, stylish, and comfortable.  The location is perfect for walking all over the city, and seeing the sights!","Leather District"
"28632","Jazz was a kind host with a beautiful loft, conveniently located too.","Leather District"
"15613","We reserved this architects live in studio, but we were given the option of staying in a larger apartment as we neared Boston. We met Sean at the larger studio in the north end which was completely unacceptable. It was a basement apartment in poor condition. Now, this may sound picky, but there was no top sheet on the bed. We had pillows, bottom sheet and comforter. After unpacking and realizing that we could not possibly stay in this apartment, we told Sean that we were leaving. He was kind but this apartment was disgusting. After we saw the tub and bathroom we realized we wouldn't feel comfortable bathing our daughter in it. Also, our friends who live in Boston told us that the architects live in studio is located in an area that is hardly safe. We asked, out of curiosity, whether Sean actually owned the two different studios and he told us that he basically manages them for a company. So, it seems somewhat misleading from the apartment posting. They seem like privately owned, by Sean, which gives them a more quaint feel. In the end, airbnb reimbursed us for our stay and sent us an apologetic gift basket. Excellent customer service from airbnb. ","Mission Hill"
"27480","I would not recommend staying here.

Location - The apartment was in a good area as far as transit and walking goes.  I didn't have any trouble finding parking on the street and left my car for 2 nights without issue.

Bedroom - The bedroom was tiny.  The picture is just about the entire room.  The apartment is just above a Subway and the smell of bread was extremely strong.  The Subway also plays music starting sometime around 6:00 - 6:30 AM and it woke me up each morning.

Bathroom - The bathroom was shared, which is awkward in some instances but overall not terrible.  Problem is the bathroom was gross.  There was hair everything and a huge clump in the drain that swirled around when I turned the shower on.  I was so grossed out from the shower that I did not even shower the last morning.

Cleanliness - The bedroom was clean but that is it.  I already mentioned the bathroom but the apartment itself wasn't overly clean either.  In the middle of the living room there was a huge rack where the host was drying her pants.  I wouldn't care too much that the place was a bit messy but the host had a rule about no shoes and asked us to wear these ridiculous """"sandals"""" around the place.  

Friendliness - I would not classify the host as friendly.  She wasn't rude but definitely wasn't nice.  Every encounter was awkward.  I asked if I could store my bike on her patio and she just flat refused.  Her patio is quite large and empty.  She just wasn't very accommodating. 

Sleeping - The room was listed as sleeping three but what we found was one """"bed"""" and one air mattress.  The bed was not comfortable and the air mattress is an air mattress.  I would not recommend staying here with more than two guests.

Overall - I would not recommend that you stay here.  I was looking for alternative places to stay as soon as we """"checked in"""" but on such short notice I wasn't able to find anything.  Next time I travel to Boston I will absolutely not considering staying here again no matter the price.  

Final Note - I honestly felt that the profile for this place is borderline false advertising.  The room doesn't really sleep three, it's not cozy at all (it's tiny), it smells of Subway (not in a good way), the host isn't friendly, and the host isn't very accommodating.  If you have a choice, choose to stay elsewhere.","Mission Hill"
"15649.1","Sean's place was a kind of a disappointment for us. The place is small as described, but that's not the problem. The real issue is the big amount of dirt we found all over the place. The freezer reeks and is so dirty that we found it impossible to use. The location though is awesome. There are plenty of good places to eat around, not to mention there is a train station nearby. The thing is if you're looking for cleaness and a big room thats definetly not the place, but if your budged is low and you're trying to be well located, go for it.
","Mission Hill"
"15661","Just stayed this past weekend with a buddy and had a great time. Apartment is as small as it looks but I went to Boston to enjoy the city, not stay in the room! Never met Sean but I understand we all run in to complications throughout the day. He was very accommodating and the apartment was just fine! Thanks Sean!! ","Mission Hill"
"28661","The listing was just as described and a wonderful place to rest my head.  We could've slept in the bed for days it was so comfortable.  The apartment was super classy and reallyclean and comfortable.  Jazz was very helpful in putting forth ideas for our travels in Boston and was definitely a nice host to have.","Leather District"
"23774","Three of us stayed at Alexandra's apartment this past weekend and we found it very conveniently close to the green T line. The apartment was clean and modern, but we didn't love the smell of the Subway that is right below. The room is simple with thin mattresses, and it had bunk beds rather than twin beds. Pictures online should be updated. Overall, Alexandra is welcoming and accommodating even though the room is not the most comfortable. ","Mission Hill"
"15634","I have to echo Daniel's words here - Sean's a nice guy and the apartment is mostly as described.... BUT 
... I got badly bitten by BUGS - probably overnight. It looks like a previous problem may not have been resolved. I'm one of those people who react to bites (canary in a coalmine).
There was one real twin mattress and an airbed that did not fit on the frame; so I used that on the floor.

Plus side:
Clean enough, nice location, handy for the T, good coffee shop round the corner. Cotton sheets!

*Might* stay in another of Sean's places if it had a bug free certificate.","Mission Hill"
"28673","Jazz has an amazing place, and is a very welcoming and gregarious host, this was my best AirBnB guest experience yet!","Leather District"
"28672","Staying with Jazz was like staying with family, a beautiful, warm, and welcoming home that greets you with a smile. Never having been to Boston, I was a bit unsure as to where to stay. The condo is centrally located and within walking distance to much of the city.  Jazz recommended a few things that helped us get to know the city, and they were spot on. The Duck Tour is a must, just make sure to call ahead to see if there are seats left.","Leather District"
"28668","Jazz was very accomodating and a great host - the apartment is central and very comfy.  I'd definitely stay there again!","Leather District"
"28638","What a great trip! The location was so near the Boston Opera house that we walked!
Cobblestone streets, the China district....The Subway was easy to get to and navigate.
Our host, Jazz was so sweet, she had coffee there for us and lots of great info. I have to say, the towels were better than the Marriot, where we ended our trip. The bed was very compfy too.
Thanks for a great Boston trip. My first AirBnb experience!!","Leather District"
"16515","Très bel et grand appartement en plein centre de Boston juste a côté de chinatown et a 10 -15 min de toutes les attractions. Belle décoration et très bien équipé, on se sent chez soi 
Il est dommage que l on ait beaucoup de bruit de la rue même la nuit et que l on entende la télé des voisins . Nous n avons pas vu Nicolas mais avons récupéré les clés sans problème ","Leather District"
